frm,height,pxW,cmW,gsdE,gsdT,predE(cm),predT(cm),errorE2,errorT2
1,85.75,64.0,174,2.794,2.864,178.816,183.296,23.193856000000025,86.41561599999986
3,85.76,69.0,174,2.794,2.864,192.786,197.61599999999999,352.91379600000005,557.7154559999993
4,85.76,62.0,174,2.794,2.864,173.228,177.56799999999998,0.5959839999999866,12.730623999999883
6,85.76,69.0,174,2.794,2.864,192.786,197.61599999999999,352.91379600000005,557.7154559999993
7,85.76,74.0,174,2.794,2.864,206.756,211.93599999999998,1072.955536,1439.1400959999983
10,85.78,68.0,174,2.795,2.865,190.06,194.82000000000002,257.9236000000001,433.4724000000009
11,85.78,61.0,174,2.795,2.865,170.495,174.76500000000001,12.285024999999969,0.5852250000000226
12,85.78,67.5,174,2.795,2.865,188.6625,193.38750000000002,214.98890624999984,375.87515625000066
13,85.78,65.0,174,2.795,2.865,181.67499999999998,186.22500000000002,58.90562499999974,149.45062500000054
25,85.81,63.5,174,2.795,2.866,177.4825,181.991,12.127806249999914,63.85608100000022
29,85.83,63.0,174,2.796,2.867,176.148,180.621,4.613903999999984,43.837641000000126
40,85.85,67.0,174,2.797,2.867,187.399,192.089,179.53320100000002,327.21192099999996
41,85.85,63.5,174,2.797,2.867,177.6095,182.0545,13.02849024999998,64.87497024999985
43,85.85,68.0,174,2.797,2.867,190.196,194.956,262.3104159999999,439.15393599999953
45,85.86,72.5,174,2.797,2.868,202.7825,207.92999999999998,828.4323062499999,1151.2448999999986
46,85.86,60.0,174,2.797,2.868,167.82000000000002,172.07999999999998,38.192399999999736,3.686400000000061
57,85.89,67.5,174,2.798,2.869,188.865,193.65750000000003,220.96822500000027,386.41730625000105
58,85.89,65.5,174,2.798,2.869,183.269,187.91950000000003,85.9143610000001,193.75248025000076
59,85.89,63.5,174,2.798,2.869,177.673,182.1815,13.490929000000014,66.93694225
64,85.9,68.0,174,2.798,2.869,190.264,195.092,264.51769600000034,444.87246400000055
66,85.9,69.0,174,2.798,2.869,193.062,197.961,363.35984400000046,574.1295210000006
67,85.9,60.5,174,2.798,2.869,169.279,173.5745,22.287841000000036,0.1810502499999996
69,85.91,60.0,174,2.799,2.869,167.94,172.14000000000001,36.723600000000026,3.459599999999945
74,85.91,64.0,174,2.799,2.869,179.136,183.616,26.378495999999956,92.46745600000027
75,85.9,60.5,174,2.798,2.869,169.279,173.5745,22.287841000000036,0.1810502499999996
77,85.9,65.5,174,2.798,2.869,183.269,187.91950000000003,85.9143610000001,193.75248025000076
79,85.9,66.5,174,2.798,2.869,186.067,190.78850000000003,145.61248900000018,281.8537322500009
83,85.9,63.0,174,2.798,2.869,176.274,180.747,5.171076000000004,45.52200900000019
84,85.9,60.0,174,2.798,2.869,167.88,172.14000000000001,37.45440000000006,3.459599999999945
86,85.9,68.0,174,2.798,2.869,190.264,195.092,264.51769600000034,444.87246400000055
89,85.89,62.0,174,2.798,2.869,173.476,177.87800000000001,0.27457600000000093,15.038884000000111
95,85.89,69.0,174,2.798,2.869,193.062,197.961,363.35984400000046,574.1295210000006
102,85.88,73.93,174,2.798,2.868,206.85614,212.03124,1079.5259356996007,1446.3752159375997
108,85.88,60.24,174,2.798,2.868,168.55152,172.76832,29.685934310399883,1.517035622400028
110,85.88,76.94999999999999,174,2.798,2.868,215.30609999999996,220.69259999999997,1706.1938972099965,2180.198894759997
114,85.87,63.2,174,2.797,2.868,176.77040000000002,181.2576,7.6751161600001305,52.672757759999946
119,85.87,68.53,174,2.797,2.868,191.67841,196.54404,312.52618012810046,508.2337395215998
120,85.87,62.980000000000004,174,2.797,2.868,176.15506000000002,180.62664,4.644283603600087,43.91235768960012
123,85.87,64.1,174,2.797,2.868,179.2877,183.83879999999996,27.95977129000001,96.80198543999929
124,85.87,65.43,174,2.797,2.868,183.00771000000003,187.65324,81.13883944410057,186.4109624976003
128,85.87,61.43,174,2.797,2.868,171.81971000000001,176.18124,4.753664484099936,4.757807937600011
132,85.86,69.37,174,2.797,2.868,194.02789,198.95316,401.1163778521005,622.6601939855998
136,85.86,66.49000000000001,174,2.797,2.868,185.97253000000003,190.69332000000003,143.34147460090082,278.66693262240096
139,85.86,70.66,174,2.797,2.868,197.63602,202.65287999999998,558.6614414404,820.987532294399
140,85.86,68.59,174,2.797,2.868,191.84623000000002,196.71612,318.48792521290073,516.0221078543996
141,85.85,65.66,174,2.797,2.867,183.65102,188.24722,93.14218704039978,202.98327772839997
142,85.85,60.75,174,2.797,2.867,169.91775,174.17025,16.6647650624999,0.028985062500003406
144,85.85,63.99,174,2.797,2.867,178.98003000000003,183.45933,24.800698800900275,89.47892404889988
145,85.85,63.1,174,2.797,2.867,176.4907,180.9077,6.20358649000002,47.71631929000008
146,85.85,67.97,174,2.797,2.867,190.11209,194.86999,259.5994441680998,435.5564826001001
147,85.85,60.57,174,2.797,2.867,169.41429000000002,173.65419,21.028736204099793,0.11958455610000011
149,85.85,60.22,174,2.797,2.867,168.43534,172.65073999999998,30.965440915600038,1.8205025476000412
152,85.85,75.23,174,2.797,2.867,210.41831000000002,215.68441,1326.2933032561014,1737.590037048101
153,85.84,70.09,174,2.796,2.867,195.97164,200.94803000000002,482.75296428960036,726.1963208809009
154,85.84,62.735,174,2.796,2.867,175.40705999999997,179.861245,1.9798178435999236,34.35419295002496
157,85.84,63.2,174,2.796,2.867,176.7072,181.1944,7.328931840000002,51.75939136000002
163,85.83,65.62,174,2.796,2.867,183.47352,188.13254,89.74758119040014,199.72868685160017
169,85.83,65.09,174,2.796,2.867,181.99164,186.61303,63.86630988959983,159.08852578090023
171,85.84,60.43,174,2.796,2.867,168.96228,173.25281,25.378622798400073,0.5582928960999838
174,85.84,75.94,174,2.796,2.867,212.32824,217.71998,1469.0539814975996,1911.4366512003994
179,85.85,71.60499999999999,174,2.797,2.867,200.27918499999998,205.29153499999998,690.5955642642242,979.1601626562239
181,85.85,66.805,174,2.797,2.867,186.85358500000004,191.52993500000002,165.21464735222597,307.2986211042258
184,85.84,75.35,174,2.796,2.867,210.67859999999996,216.02845,1345.319697959997,1766.3906094024994
187,85.84,60.06,174,2.796,2.867,167.92776,172.19202,36.872098617599924,3.268791680399951
190,85.84,69.21,174,2.796,2.867,193.51115999999996,198.42506999999998,380.6853645455985,596.5840445048989
192,85.84,64.44999999999999,174,2.796,2.867,180.20219999999995,184.77814999999995,38.46728483999935,116.16851742249901
193,85.84,71.73,174,2.796,2.867,200.55707999999998,205.64991,705.2784981263992,1001.7168030081003
195,85.84,70.14,174,2.796,2.867,196.11144,201.09138000000002,488.91577887359944,733.9428703044008
196,85.84,68.21,174,2.796,2.867,190.71515999999997,195.55807,279.396573825599,464.75038212489943
197,85.84,64.69500000000001,174,2.796,2.867,180.88722,185.480565,47.433799328400184,131.80337271922528
199,85.84,71.265,174,2.796,2.867,199.25694,204.316755,637.9130181635993,919.105633730025
200,85.84,63.02,174,2.796,2.867,176.20392,180.67834000000002,4.857263366400048,44.60022515560026
201,85.83,66.59,174,2.796,2.867,186.18564,190.91353,148.48982220960016,286.0674970609003
202,85.83,65.27,174,2.796,2.867,182.49491999999998,187.12909,72.16366580639965,172.37300422809975
204,85.83,69.55,174,2.796,2.867,194.46179999999998,199.39985,418.68525923999925,645.1523800224993
208,85.84,68.82,174,2.796,2.867,192.42071999999996,197.30693999999997,339.3229253183985,543.2134521635985
209,85.84,69.0,174,2.796,2.867,192.92399999999998,197.823,358.1177759999992,567.5353290000004
210,85.84,69.215,174,2.796,2.867,193.52514,198.43940500000002,381.2310920195997,597.2845167540261
211,85.84,63.05,174,2.796,2.867,176.28779999999998,180.76434999999998,5.2340288399998895,45.75643092249972
212,85.84,64.94,174,2.796,2.867,181.57224,186.18298,57.338818617599905,148.42500168039967
215,85.85,61.04,174,2.797,2.867,170.72888,175.00168,10.700226054399975,1.0033628223999864
217,85.85,66.85,174,2.797,2.867,186.97944999999999,191.65894999999998,168.46612230249963,311.8385151024992
219,85.84,71.94,174,2.796,2.867,201.14423999999997,206.25198,736.8097651775983,1040.1902139204003
222,85.84,64.025,174,2.796,2.867,179.0139,183.55967500000003,25.139193210000066,91.38738610562551
224,85.84,60.35,174,2.796,2.867,168.7386,173.02345,27.682329960000093,0.9536499025000061
226,85.84,77.47,174,2.796,2.867,216.60611999999998,222.10649,1815.281461454398,2314.234380120101
228,85.84,68.305,174,2.796,2.867,190.98078,195.83043500000002,288.34688940840033,476.567892289226
233,85.84,75.47,174,2.796,2.867,211.01412,216.37249,1370.0450793743994,1795.4279088000999
237,85.85,74.1,174,2.797,2.867,207.2577,212.44469999999998,1106.07460929,1477.9949580899988
238,85.85,71.0,174,2.797,2.867,198.58700000000002,203.557,604.5205690000008,873.6162489999992
245,85.84,72.19,174,2.796,2.867,201.84323999999998,206.96873,775.2460136975989,1086.9371578128996
251,85.85,61.37,174,2.797,2.867,171.65189,175.94779,5.513620572099959,3.793885884099991
253,85.85,64.01,174,2.797,2.867,179.03597000000002,183.51667,25.360993840900203,90.5670078889001
257,85.87,61.03,174,2.797,2.868,170.70091000000002,175.03404,10.883994828099857,1.0692387216000094
260,85.87,67.05,174,2.797,2.868,187.53885,192.2994,183.3004593224999,334.86804035999967
261,85.88,71.04,174,2.798,2.868,198.76992,203.74272000000002,613.5489368064007,884.6293929984012
262,85.88,63.12,174,2.798,2.868,176.60976,181.02815999999999,6.810847257599971,49.3950329855998
266,85.88,62.010000000000005,174,2.798,2.868,173.50398,177.84468,0.24603584039998735,14.781564302400085
268,85.89,65.665,174,2.798,2.869,183.73067000000003,188.39288500000004,94.68593864890062,207.155138623226
278,85.91,62.3,174,2.799,2.869,174.37769999999998,178.7387,0.14265728999998184,22.455277689999946
281,85.93,60.61,174,2.799,2.87,169.64739,173.9507,18.945213812099986,0.00243048999999883
295,85.97,70.11,174,2.8,2.871,196.308,201.28581,497.64686399999965,744.5154273560998
301,85.99,71.46,174,2.801,2.872,200.15946,205.23311999999999,684.3173474915998,975.5077849343991
304,86.01,63.17,174,2.802,2.873,177.00234,181.48741,9.014045475600023,56.06130850810017
308,86.01,66.56,174,2.802,2.873,186.50112000000001,191.22688000000002,156.27800125440035,296.7653945344008
310,86.03,65.03,174,2.802,2.873,182.21406000000002,186.83119000000002,67.4707816836003,164.63943681610053
313,86.03,62.64,174,2.802,2.873,175.51728,179.96472000000003,2.3021385983999987,35.57788467840034
318,86.05,62.52,174,2.803,2.874,175.24356,179.68248000000003,1.5464414736000056,32.2905789504003
321,86.07,61.31,174,2.803,2.875,171.85193,176.26625,4.614204724899957,5.135889062500062
326,86.07,71.37,174,2.803,2.875,200.05011000000002,205.18875000000003,678.608231012101,972.7381265625017
328,86.09,68.745,174,2.804,2.875,192.76098,197.64187500000003,351.9743705603996,558.9382535156263
336,86.11,61.22,174,2.805,2.876,171.7221,176.06871999999998,5.188828409999947,4.279602438399937
337,86.11,62.52,174,2.805,2.876,175.36860000000001,179.80752,1.8730659600000408,33.727288550400125
339,86.12,66.245,174,2.805,2.876,185.81722500000004,190.52062,139.64680670062586,272.93088518440027
341,86.12,64.65,174,2.805,2.876,181.34325000000004,185.9334,53.92332056250059,142.40603556000013
343,86.12,68.785,174,2.805,2.876,192.941925,197.82565999999997,358.7965227056249,567.6620744355986
353,86.14,72.71,174,2.806,2.877,204.02426,209.18666999999996,901.4561885475999,1238.1017456888974
357,86.15,64.43,174,2.806,2.877,180.79058000000003,185.36511000000002,46.111976736400464,129.16572531210036
358,86.15,72.61,174,2.806,2.877,203.74366,208.89897,884.6853101956003,1217.9381070608995
361,86.15,62.485,174,2.806,2.877,175.33291,179.769345,1.7766490680999953,33.28534172902485
363,86.15,63.39,174,2.806,2.877,177.87234,182.37303,14.995017075600064,70.1076313809
364,86.15,72.37,174,2.806,2.877,203.07022,208.20848999999998,845.0776908484004,1170.2207880800988
366,86.15,64.41,174,2.806,2.877,180.73445999999998,185.30756999999997,45.35295149159979,127.86113930489932
367,86.15,64.52000000000001,174,2.806,2.877,181.04312000000004,185.62404,49.605539334400625,135.11830592160018
370,86.14,63.54,174,2.806,2.877,178.29324,182.80458,18.431909697599977,77.52062897639978
377,86.14,62.449999999999996,174,2.806,2.877,175.2347,179.66864999999999,1.5244840900000092,32.133592822499836
378,86.14,64.63,174,2.806,2.877,181.35178,185.94050999999996,54.04866916839987,142.57577906009905
382,86.13,72.75,174,2.805,2.877,204.06375,209.30174999999997,903.8290640624999,1246.2135530624978
383,86.13,62.629999999999995,174,2.805,2.877,175.67714999999998,180.18650999999997,2.8128321224999437,38.27290598009963
384,86.13,60.11,174,2.805,2.877,168.60855,172.93646999999999,29.06773310249991,1.1310960609000305
385,86.13,61.23,174,2.805,2.877,171.75015,176.15870999999999,5.061825022500042,4.660028864099935
388,86.12,68.42,174,2.805,2.876,191.9181,196.77591999999999,321.0583076100003,518.7425318463993
389,86.12,62.9,174,2.805,2.876,176.4345,180.9004,5.926790250000068,47.61552015999987
391,86.12,62.68,174,2.805,2.876,175.81740000000002,180.26767999999998,3.3029427600000747,39.283812582399804
392,86.12,68.96000000000001,174,2.805,2.876,193.43280000000004,198.32896000000002,377.6337158400017,591.8982946816011
394,86.09,61.485,174,2.804,2.875,172.40393999999998,176.769375,2.5474075236000724,7.669437890624981
395,86.09,69.0,174,2.804,2.875,193.476,198.375,379.314576,594.140625
398,86.09,72.88,174,2.804,2.875,204.35551999999998,209.52999999999997,921.457594470399,1262.380899999998
400,86.06,61.62,174,2.803,2.874,172.72086,177.09588,1.6361991396000317,9.584472974399963
401,86.06,69.6,174,2.803,2.874,195.0888,200.0304,444.73748543999966,677.5817241599992
402,86.06,73.845,174,2.803,2.874,206.98753499999998,212.23053000000002,1088.1774653762236,1461.5734240809013
404,86.06,60.315,174,2.803,2.874,169.06294499999998,173.34531,24.374512073025148,0.4286189960999843
406,86.03,68.13,174,2.802,2.873,190.90026,195.73749,285.6187880676001,472.51847150010036
407,86.03,71.535,174,2.802,2.873,200.44107,205.520055,699.1301827448998,993.5138672030258
409,86.03,63.49,174,2.802,2.873,177.89898,182.40677000000002,15.202045040399957,70.67378183290039
410,86.03,60.55,174,2.802,2.873,169.6611,173.96015,18.82605320999996,0.0015880225000001016
413,86.01,72.97,174,2.802,2.873,204.46194,209.64281000000003,927.9297885635999,1270.4099046961019
415,86.01,62.18,174,2.802,2.873,174.22836,178.64314000000002,0.05214828960000421,21.558749059600157
418,85.98,69.67,174,2.801,2.872,195.14567000000002,200.09224,447.13935974890103,680.8049882176002
419,85.98,71.74,174,2.801,2.872,200.94374,206.03727999999998,725.9651251875995,1026.3873097983987
421,85.98,62.68000000000001,174,2.801,2.872,175.56668000000002,180.01696,2.4544862224000608,36.20380764160014
422,85.98,62.61,174,2.801,2.872,175.37061,179.81591999999998,1.878571772099998,33.82492544639973
424,85.95,65.04,174,2.8,2.871,182.112,186.72984000000002,65.80454399999992,162.04882642560062
425,85.95,74.475,174,2.8,2.871,208.52999999999997,213.817725,1192.3208999999981,1585.4512241756247
426,85.95,63.48,174,2.8,2.871,177.74399999999997,182.25108,14.017535999999785,68.08032116640003
428,85.95,60.2,174,2.8,2.871,168.56,172.8342,29.593599999999974,1.359089639999977
431,85.93,60.82,174,2.799,2.87,170.23517999999999,174.5534,14.173869632400109,0.3062515600000117
433,85.93,66.76,174,2.799,2.87,186.86124,191.60120000000003,165.41149433760023,309.8022414400012
435,85.91,61.945,174,2.799,2.869,173.384055,177.72020500000002,0.37938824302501306,13.839925242025158
438,85.91,60.06,174,2.799,2.869,168.10794,172.31214000000003,34.71637104359984,2.848871379599906
442,85.88,66.35,174,2.798,2.868,185.64729999999997,190.29179999999997,135.65959728999937,265.4227472399989
445,85.88,62.06,174,2.798,2.868,173.64388,177.98808,0.126821454400003,15.904782086399972
447,85.87,64.625,174,2.797,2.868,180.756125,185.34449999999998,45.645225015624966,128.6976802499996
448,85.87,63.334999999999994,174,2.797,2.868,177.14799499999998,181.64477999999997,9.909872520024877,58.442661248399524
449,85.87,75.23,174,2.797,2.868,210.41831000000002,215.75964,1326.2933032561014,1743.8675329295993
451,85.87,66.58,174,2.797,2.868,186.22426000000002,190.95144,149.43253254760037,287.3513180735997
453,85.85,66.805,174,2.797,2.867,186.85358500000004,191.52993500000002,165.21464735222597,307.2986211042258
454,85.85,63.43000000000001,174,2.797,2.867,177.41371000000004,181.85381,11.653415964100255,61.682331516100156
455,85.85,60.11,174,2.797,2.867,168.12767,172.33537,34.48425962890006,2.770993036899961
458,85.85,64.805,174,2.797,2.867,181.25958500000002,185.79593500000001,52.701574372225224,139.14408252422533
459,85.83,61.34,174,2.796,2.867,171.50664,175.86178,6.216844089599978,3.466224768400038
460,85.83,60.89,174,2.796,2.867,170.24844,174.57163,14.07420243360009,0.32676085689999884
462,85.83,65.56,174,2.796,2.867,183.30576,187.96052,86.59716917759985,194.89611867040006
464,85.83,64.67,174,2.796,2.867,180.81732,185.40889,46.47585198239993,130.16277103210032
465,85.8,68.08500000000001,174,2.795,2.866,190.29757500000002,195.13161000000002,265.61095088062575,446.54494119210096
466,85.8,63.68,174,2.795,2.866,177.9856,182.50688,15.88500736000004,72.36700733439991
467,85.8,63.22,174,2.795,2.866,176.69989999999999,181.18852,7.289460009999921,51.67481979040016
469,85.8,68.72,174,2.795,2.866,192.0724,196.95152000000002,326.61164175999954,526.7722703104007
470,85.8,60.79,174,2.795,2.866,169.90805,174.22414,16.744054802499978,0.05023873960000249
471,85.78,63.75,174,2.795,2.865,178.18125,182.64375,17.48285156250005,74.7144140625002
473,85.78,63.81,174,2.795,2.865,178.34895,182.81565000000003,18.913366102500017,77.71568492250059
474,85.78,70.28999999999999,174,2.795,2.865,196.46054999999998,201.38084999999998,504.47630630249927,749.710946722499
475,85.78,62.83,174,2.795,2.865,175.60985,180.00795000000002,2.591617022499982,36.09546320250027
476,85.78,61.9,174,2.795,2.865,173.01049999999998,177.3435,0.9791102500000414,11.17899225000004
477,85.76,66.33500000000001,174,2.794,2.864,185.33999000000003,189.98344,128.59537320010065,255.47035423360006
478,85.76,60.85,174,2.794,2.864,170.0149,174.27439999999999,15.881022009999908,0.07529535999999219
481,85.76,64.44,174,2.794,2.864,180.04536,184.55615999999998,36.54637752959986,111.43251394559951
482,85.76,61.925,174,2.794,2.864,173.01845,177.3532,0.9634404024999972,11.243950239999911
484,85.74,68.94,174,2.793,2.864,192.54942,197.44415999999998,344.0809823363999,549.6286381055992
485,85.74,64.46,174,2.793,2.864,180.03678,184.61343999999997,36.442712768399915,112.64510863359934
487,85.74,63.464999999999996,174,2.793,2.864,177.257745,181.76376,10.612902485025,60.275969337599854
488,85.74,63.97,174,2.793,2.864,178.66821000000002,183.21007999999998,21.79218460410015,84.82557360639957
489,85.71,60.98,174,2.792,2.863,170.25616,174.58574,14.016337945600045,0.34309134759998483
491,85.71,67.98,174,2.792,2.863,189.80016,194.62674,249.64505602560016,425.4624030276005
492,85.71,69.0,174,2.792,2.863,192.648,197.547,347.74790399999983,554.4612089999998
494,85.71,68.0,174,2.792,2.863,189.856,194.684,251.41273599999982,427.8278559999999
495,85.68,64.0,174,2.791,2.862,178.624,183.168,21.381375999999957,84.05222400000012
502,85.65,62.99,174,2.79,2.861,175.74210000000002,180.21439,3.0349124100000764,38.618643072100106
504,85.65,61.98,174,2.79,2.861,172.92419999999998,177.32478,1.1573456400000326,11.054162048400027
